員工編號,姓名,帳號,單位,職稱,Email
,（待指派）,pending_personnel_director,人事室,主任,
,（待指派）,pending_accounting_director,會計室,主任,
,（待指派）,pending_academic_director,教務處,主任,
,（待指派）,pending_academic_teaching,教務處,教學組,
,（待指派）,pending_academic_curriculum,教務處,課研組,
,（待指派）,pending_academic_it,教務處,資訊組,
,（待指派）,pending_academic_registration,教務處,註冊組,
,（待指派）,pending_student_director,學務處,主任,
,（待指派）,pending_student_health,學務處,衛生組,
,（待指派）,pending_student_pe,學務處,體育組,
,（待指派）,pending_student_discipline,學務處,生教組,
,（待指派）,pending_guidance_director,輔導室,主任,
,（待指派）,pending_guidance_counseling,輔導室,輔導組,
,（待指派）,pending_guidance_data,輔導室,資料組,
,（待指派）,pending_guidance_specialed,輔導室,特教組,
,（待指派）,pending_general_director,總務處,主任,
,（待指派）,pending_general_affairs,總務處,事務組,
